0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,6,11,2,4,3,3,6,4,3,3,3,5,4,4,4,11,3,3,3,7,4,3,3,4,3,7,5,4,4,2,6
WeakUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Neutral,Dry,Neutral,Clear,Clear,Clear,Clear,Weak,Strong,Other,None,None,None,Some,DecCapIncIns,Decreasing,WeakPos,Increasing,SVR,May15_Jun14,C,CThruK,PartInhibit,Average,Average,CDEJ,LIGt0,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Weak,None,C,XNIL,XNIL,SVR,LowAtStation,ModerateOrLe,Dry,Steep,MarkedUpper,Other,E_W_S,SigPositive,None,LV,LVorOther,LongAnticyc
Down,Down,Down,Down,Down,Wet,VeryWet,VeryWet,VeryWet,PC,PC,PC,Clear,None,Weak,Westerly,Weak,None,Weak,None,DecCapIncIns,Decreasing,WeakPos,Decreasing,SIG,Jul16_Aug10,C,CThruK,Stifling,MoreThanAve,Average,CDEJ,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,ACEFK,None,Moderate,Strong,C,SVR,SVR,SVR,LowEvrywhere,Steep,Dry,ModerateOrLe,OtherRapid,DryMMoistL,E_W_S,LittleChange,QStationary,NWQuad,Westerly,WidespdDnsl
Down,Down,Neutral,Down,Down,Neutral,Neutral,Neutral,Neutral,PC,Clear,Clear,Clear,None,Weak,Other,None,None,None,None,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Aug20_Sep15,G,CThruK,PartInhibit,MoreThanAve,MoreThanAve,G,LILt_8,Stability,MoreUnstable,MoreUnstable,GJ,Stifling,Unfavorable,None,G,XNIL,XNIL,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,Other,DryLine,PosToNeg,None,SWQuad,Westerly,LongAnticyc
StrongUp,WeakUp,WeakUp,StrongUp,StrongUp,Dry,Neutral,Wet,VeryWet,Clear,PC,Clear,Clear,Weak,Weak,Westerly,Weak,Weak,Weak,None,DecCapIncIns,Decreasing,Neutral,Decreasing,SIG,Jun15_Jul1,H,CThruK,PartInhibit,LessThanAve,LessThanAve,H,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Weak,Slight,H,XNIL,XNIL,SIG,LowNHighS,ModerateOrLe,Average,ModerateOrLe,MarkedUpper,DryMMoistL,E_W_N,PosToNeg,Moving,NWQuad,LVorOther,E_NE
Neutral,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,Wet,Wet,PC,PC,Cloudy,Cloudy,Strong,Strong,Westerly,Weak,Weak,Weak,Some,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,Jul16_Aug10,C,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Instability,Average,MoreUnstable,ACEFK,None,Strong,Strong,C,SVR,SVR,SVR,LowAtStation,Steep,Dry,ModerateOrLe,MarkedUpper,MoistMDryL,E_W_N,LittleChange,None,AllElse,Westerly,LongAnticyc
Down,Neutral,Neutral,Neutral,Neutral,Wet,Dry,Wet,Wet,PC,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Strong,Strong,Strong,Some,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jul16_Aug10,B,AB,PartInhibit,LessThanAve,Average,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,B,PartInhibit,Moderate,Moderate,B,SIG,SIG,SIG,LowEvrywhere,Steep,Dry,ModerateOrLe,NoMajor,DryMMoistL,DenvCyclone,SigPositive,Other,SWQuad,LVorOther,DenvCyclone
StrongUp,StronUp,StrongUp,StrongUp,StrongUp,Neutral,Neutral,Neutral,VeryWet,Cloudy,PC,PC,PC,Strong,Strong,Westerly,Strong,None,Weak,Marked,DecCapIncIns,Decreasing,Neutral,LittleChange,SVR,Aug20_Sep15,G,CThruK,Stifling,MoreThanAve,MoreThanAve,G,LIGt0,Stability,LessUnstable,LessUnstable,GJ,None,Moderate,Strong,G,SIG,SIG,SVR,LowNHighS,Steep,Dry,CloseToDryAd,NoMajor,Other,DryLine,PosToNeg,None,SWQuad,Westerly,WidespdDnsl
Neutral,Neutral,Down,Down,Down,Wet,Neutral,Wet,Neutral,PC,Clear,Cloudy,Cloudy,None,None,Westerly,None,None,None,None,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,May15_Jun14,H,CThruK,PartInhibit,MoreThanAve,MoreThanAve,H,N5GtLIGt_8,Stability,MoreUnstable,MoreUnstable,HI,None,Strong,Strong,H,XNIL,XNIL,XNIL,HighEvrywher,Stable,VeryMoist,CloseToDryAd,NoMajor,DryMMoistL,DenvCyclone,SigNegative,Moving,NWQuad,LVorOther,LV
WeakUp,Down,Down,Down,Down,Neutral,Neutral,Wet,Dry,PC,Clear,Clear,Clear,Weak,Strong,Westerly,Strong,Strong,Strong,Some,LittleChange,LittleChange,Neutral,Increasing,SIG,Aug20_Sep15,I,CThruK,Stifling,MoreThanAve,MoreThanAve,ABI,LIGt0,Instability,LessUnstable,Average,HI,PartInhibit,Weak,Moderate,I,XNIL,XNIL,SIG,LowSHighN,Stable,Average,ModerateOrLe,MarkedUpper,MoistMDryL,Other,SigNegative,QStationary,NWQuad,LVorOther,WidespdDnsl
